type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,raw_pnl,pnl,holding_days
Long,False,1.0,2025-07-03 14:00:00,2025-07-04 06:00:00,3369.0,3342.0,-27.0,-28.05,1
Long,True,1.0,2025-07-03 22:00:00,2025-07-04 06:00:00,3370.3,3342.0,-28.3,-29.35,1
Long,False,1.0,2025-07-04 22:00:00,2025-07-05 06:00:00,3349.0,3343.6,-5.4,-6.45,1
Long,False,1.0,2025-07-07 14:00:00,2025-07-07 22:00:00,3344.5,3322.4,-22.1,-22.4,0
Long,False,1.0,2025-07-08 14:00:00,2025-07-08 22:00:00,3348.9,3343.9,-5.0,-5.3,0
Short,False,1.0,2025-07-09 14:00:00,2025-07-11 14:00:00,3310.6,3333.1,-22.5,-22.26,2
Long,False,1.0,2025-07-14 22:00:00,2025-07-15 06:00:00,3370.9,3363.0,-7.9,-8.95,1
Long,False,1.0,2025-07-15 22:00:00,2025-07-16 06:00:00,3371.1,3355.0,-16.1,-17.15,1
Long,False,1.0,2025-07-16 22:00:00,2025-07-17 06:00:00,3344.6,3333.6,-11.0,-12.05,1
Long,False,1.0,2025-07-17 14:00:00,2025-07-17 22:00:00,3354.7,3345.5,-9.2,-9.5,0
Long,False,1.0,2025-07-18 14:00:00,2025-07-18 22:00:00,3347.5,3338.8,-8.7,-9.0,0
Long,False,1.0,2025-07-19 06:00:00,2025-07-21 14:00:00,3362.0,3355.6,-6.4,-8.2,2
Long,False,1.0,2025-07-21 22:00:00,2025-07-22 22:00:00,3374.0,3399.4,25.4,24.35,1
Long,True,1.0,2025-07-22 14:00:00,2025-07-22 22:00:00,3410.7,3399.4,-11.3,-11.6,0
Long,False,1.0,2025-07-23 06:00:00,2025-07-23 22:00:00,3423.1,3434.5,11.4,11.1,0
Long,True,1.5,2025-07-23 14:00:00,2025-07-23 22:00:00,3444.3,3434.5,-9.8,-15.15,0
Short,False,1.0,2025-07-28 22:00:00,2025-07-30 22:00:00,3343.3,3379.4,-36.1,-35.86,2
Short,False,1.0,2025-07-31 06:00:00,2025-08-02 06:00:00,3356.8,3395.4,-38.6,-38.36,2
Long,False,1.0,2025-08-05 06:00:00,2025-08-05 14:00:00,3437.5,3428.9,-8.6,-8.9,0
Long,False,1.0,2025-08-06 06:00:00,2025-08-06 22:00:00,3428.5,3428.6,0.1,-0.2,0
Long,False,1.0,2025-08-07 14:00:00,2025-08-11 14:00:00,3431.8,3458.1,26.3,23.0,4
Long,True,1.0,2025-08-07 22:00:00,2025-08-11 14:00:00,3445.0,3458.1,13.1,9.8,4
Short,False,1.0,2025-08-20 14:00:00,2025-08-25 14:00:00,3359.0,3417.6,-58.6,-57.55,5
Long,False,1.0,2025-08-25 14:00:00,2025-08-25 22:00:00,3417.6,3408.7,-8.9,-9.2,0
Long,False,1.0,2025-08-26 06:00:00,2025-08-26 14:00:00,3415.3,3410.8,-4.5,-4.8,0
Long,False,1.0,2025-08-26 22:00:00,2025-08-27 06:00:00,3424.0,3422.4,-1.6,-2.65,1
Long,False,1.0,2025-08-27 14:00:00,2025-08-27 22:00:00,3443.0,3426.8,-16.2,-16.5,0
Long,False,1.0,2025-08-28 14:00:00,2025-08-28 22:00:00,3452.6,3446.1,-6.5,-6.8,0
Long,False,1.0,2025-08-29 06:00:00,2025-08-29 22:00:00,3464.8,3470.6,5.8,5.5,0
Long,True,1.0,2025-08-29 14:00:00,2025-08-29 22:00:00,3477.2,3470.6,-6.6,-6.9,0
Long,False,1.0,2025-08-30 06:00:00,2025-09-02 06:00:00,3489.2,3544.4,55.2,52.65,3
Long,True,1.0,2025-09-01 14:00:00,2025-09-02 06:00:00,3517.9,3544.4,26.5,25.45,1
Long,False,1.0,2025-09-02 14:00:00,2025-09-03 06:00:00,3547.5,3552.3,4.8,3.75,1
Long,True,1.5,2025-09-02 22:00:00,2025-09-03 06:00:00,3561.7,3552.3,-9.4,-15.67,1
Long,False,1.0,2025-09-03 14:00:00,2025-09-03 22:00:00,3600.0,3595.2,-4.8,-5.1,0
Long,False,1.0,2025-09-04 06:00:00,2025-09-04 22:00:00,3619.5,3584.4,-35.1,-35.4,0
Long,True,1.5,2025-09-04 14:00:00,2025-09-04 22:00:00,3619.8,3584.4,-35.4,-53.55,0
Long,False,1.0,2025-09-05 06:00:00,2025-09-05 14:00:00,3605.4,3602.0,-3.4,-3.7,0
Long,False,1.0,2025-09-05 22:00:00,2025-09-08 14:00:00,3617.9,3635.0,17.1,14.55,3
Long,False,1.0,2025-09-09 06:00:00,2025-09-10 14:00:00,3673.1,3662.0,-11.1,-12.15,1
Long,True,1.5,2025-09-09 14:00:00,2025-09-10 14:00:00,3676.6,3662.0,-14.6,-23.47,1
Long,False,1.0,2025-09-10 22:00:00,2025-09-11 14:00:00,3680.4,3680.6,0.2,-0.85,1
Long,False,1.0,2025-09-12 06:00:00,2025-09-13 06:00:00,3667.7,3688.2,20.5,19.45,1
Long,True,1.5,2025-09-12 14:00:00,2025-09-13 06:00:00,3672.8,3688.2,15.4,21.52,1
Long,False,1.0,2025-09-15 22:00:00,2025-09-17 14:00:00,3681.1,3727.3,46.2,44.4,2
Long,True,1.5,2025-09-16 06:00:00,2025-09-17 14:00:00,3694.8,3727.3,32.5,47.18,1
Long,False,1.0,2025-09-20 06:00:00,2025-09-24 14:00:00,3696.2,3796.9,100.7,97.4,4
Long,True,1.0,2025-09-22 22:00:00,2025-09-24 14:00:00,3732.5,3796.9,64.4,62.6,2
Long,False,1.0,2025-09-24 22:00:00,2025-09-25 06:00:00,3808.0,3794.7,-13.3,-14.35,1
Long,False,1.0,2025-09-25 22:00:00,2025-09-26 06:00:00,3769.2,3764.1,-5.1,-6.15,1
Long,False,1.0,2025-09-26 14:00:00,2025-09-26 22:00:00,3781.5,3771.3,-10.2,-10.5,0
Long,False,1.0,2025-09-27 06:00:00,2025-09-29 14:00:00,3792.2,3788.8,-3.4,-5.2,2
Long,False,1.0,2025-09-29 22:00:00,2025-10-01 06:00:00,3842.0,3852.0,10.0,8.2,2
Long,True,1.0,2025-09-30 06:00:00,2025-10-01 06:00:00,3850.6,3852.0,1.4,0.35,1
Long,False,1.0,2025-10-01 14:00:00,2025-10-02 14:00:00,3887.7,3892.7,5.0,3.95,1
Long,True,1.0,2025-10-01 22:00:00,2025-10-02 14:00:00,3890.7,3892.7,2.0,0.95,1
Long,False,1.0,2025-10-02 22:00:00,2025-10-03 14:00:00,3893.0,3880.4,-12.6,-13.65,1
Long,True,1.5,2025-10-03 06:00:00,2025-10-03 14:00:00,3900.0,3880.4,-19.6,-29.85,0
