type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-11-03 12:00:00,4011.19,2025-11-03 20:00:00,4007.54,3925.48,-3.95,0,Signal Exit,461
Long,False,1.0,2025-11-04 00:00:00,4007.63,2025-11-04 04:00:00,4004.86,3958.45,-3.07,0,Signal Exit,462
Long,False,1.0,2025-11-04 20:00:00,3995.16,2025-11-05 00:00:00,3956.97,3938.15,-39.24,24,Signal Exit,463
Long,False,1.0,2025-11-06 16:00:00,4005.6,2025-11-07 00:00:00,3980.31,3954.88,-26.34,24,Signal Exit,464
Long,False,1.0,2025-11-07 12:00:00,3990.54,2025-11-07 20:00:00,4003.09,3959.54,12.25,0,Signal Exit,465
Long,False,1.0,2025-11-08 04:00:00,4006.57,2025-11-10 04:00:00,3999.21,3959.21,-9.16,48,Signal Exit,466
Long,False,1.0,2025-11-10 08:00:00,4011.78,2025-11-11 00:00:00,4084.32,4025.4,71.49,24,Signal Exit,467
Long,False,1.0,2025-11-11 04:00:00,4113.33,2025-11-11 16:00:00,4129.17,4081.55,15.54,0,Signal Exit,468
Long,True,1.0,2025-11-11 08:00:00,4120.21,2025-11-11 16:00:00,4129.17,4081.55,8.66,0,Signal Exit,469
Long,False,1.0,2025-11-11 20:00:00,4143.08,2025-11-12 00:00:00,4106.56,4099.54,-37.57,24,Signal Exit,470
Long,False,1.0,2025-11-12 04:00:00,4123.05,2025-11-12 12:00:00,4111.99,4079.43,-11.36,0,Signal Exit,471
Long,True,2.0,2025-11-12 08:00:00,4142.66,2025-11-12 12:00:00,4111.99,4079.43,-61.94,0,Signal Exit,472
Long,False,1.0,2025-11-12 16:00:00,4117.14,2025-11-13 08:00:00,4190.93,4092.27,72.74,24,Signal Exit,473
Long,True,2.0,2025-11-12 20:00:00,4126.15,2025-11-13 08:00:00,4190.93,4092.27,127.46,24,Signal Exit,474
Long,False,1.0,2025-11-13 12:00:00,4213.02,2025-11-14 00:00:00,4202.68,4174.31,-11.39,24,Signal Exit,475
Long,True,2.0,2025-11-13 16:00:00,4220.06,2025-11-14 00:00:00,4202.68,4174.31,-36.86,24,Signal Exit,476
Long,False,1.0,2025-11-14 08:00:00,4186.33,2025-11-14 16:00:00,4181.0,4125.88,-5.63,0,Signal Exit,477
Long,False,1.0,2025-11-20 08:00:00,4104.6,2025-11-20 12:00:00,4072.14,4015.42,-32.76,0,Signal Exit,478
